Logradouro,CEP,Bairro
Rua Machado de Assis,77543-204,Jardim Paulista
Rua Maguari,77543-132,Jardim Paulista
Rua Mamede Bucar,77546-174,Nova Esperança
Rua Mandi,77545-436,Marista
Rua Manoel Bandeira,77543-154,Jardim Paulista
Rua Manoel Dias de Souza,77547-332,Neuton Moraes
Rua Manoel Dias Souza,77546-170,Nova Esperança
Rua Manoel Gomes da Rocha,77545-764,Alto Paraíso
Rua Manoel Gomes da Rocha,77545-854,Pouso Alegre
Rua Manoel Martins de Souza,77545-740,Alto Paraíso
Rua Manoel Martins de Souza,77545-836,Pouso Alegre
Rua Manoel Pinheiros,77545-496,Marista
Rua Manuel Araújo,77543-196,Jardim Paulista
Rua Maquinê,77543-136,Jardim Paulista
Rua Marcos de Noronha,77540-140,Serrano
Rua Marcos Palmerio,77540-096,Serrano
Rua Marcus Vinicius,77540-136,Serrano
Rua Marechal Deodoro,77545-224,Oeste
Rua Marechal Deodoro,77545-684,Jardim do Lago
Rua Marechal Rondom,77545-084,Centro
Rua Marechal Teodoro da Fonseca,77543-188,Jardim Paulista
Rua Maria Barbosa,77540-414,Portal do Sul
Rua Maria José dos Santos,77540-610,Lago Sul
Rua Mariano Cavalcante,77547-314,Neuton Moraes
Rua Mário Santana,77547-322,Neuton Moraes
Rua Marquês de Olinda,77543-280,Jardim Paulista
Rua Marquês de Pombal,77543-282,Jardim Paulista
Rua Mascarenhas de Moraes,77540-028,Parque dos Buritis
Rua Mascarenhas de Moraes,77540-086,Serrano
Rua Mato Grosso,77545-204,Oeste
Rua Minas Gerais,77545-202,Oeste
Rua Miranorte,77540-128,Serrano
Rua Monteiro Lobato,77543-176,Jardim Paulista
Rua Nilo Peçanha,77543-228,Jardim Paulista
Rua Noel Rosa,77543-152,Jardim Paulista
Rua Nogueira Avelino,77543-194,Jardim Paulista
Rua Noruega,77546-358,Jardins das Acácias
Rua Noruega,77546-424,Vila Regina
Rua Odilon Barbosa,77547-320,Neuton Moraes
Rua Oitís,77540-310,Serra Verde
Rua Olavo Bilac,77540-092,Serrano
Rua Olavo Bilac,77543-180,Jardim Paulista
Rua Orivaldo José Mendes,77545-484,Marista
Rua Oscar Niemeyer,77543-198,Jardim Paulista
Rua Oscar Niemeyer,77543-332,Vale do Araguaia
Rua Oswaldo Aranha,77543-190,Jardim Paulista
Rua Padre Paulo Pereira Rêgo,77545-498,Marista
Rua Paraguai,77546-392,Vila Regina
Rua Paraguassú,77543-248,Jardim Paulista
Rua Paraiba,77545-420,Marista
Rua Paraná,77545-198,Oeste
Rua Pardal,77540-420,Portal do Sul
Rua Paresi,77543-258,Jardim Paulista
Rua Paulo Freire,77543-330,Vale do Araguaia
Rua Pedro Afonso,77540-052,Serrano
Rua Pedro Moura Brito,77545-840,Pouso Alegre
Rua Peito de Aho,77540-424,Portal do Sul
Rua Perdizes,77543-124,Jardim Paulista
Rua Perimetral Leste,77546-160,Santa Clara
Rua Perimetral Norte,77546-162,Santa Clara
Rua Perimetral Oeste,77546-166,Santa Clara
Rua Perimetral Sul,77545-778,Pouso Alegre
Rua Peroba,77543-304,Terra Bela
Rua Peru,77540-130,Serrano
Rua Perus,77543-118,Jardim Paulista
Rua Piauí Zé Bileu,77545-140,Vila Popular
Rua Piauí Zé Bileu,77545-218,Oeste
Rua Pinheiro,77545-408,Bueno
Rua Pio X,77540-122,Serrano
Rua Piraiba,77545-428,Marista
Rua Pirarara,77545-460,Marista
Rua Porto Nacional,77540-118,Serrano
Rua Portugal,77546-382,Vila Regina
Rua Potiguara,77543-246,Jardim Paulista
Rua Princesa Isabel,77543-184,Jardim Paulista
Rua Professora Dalva,77545-488,Marista
Rua Protásio Alves,77543-286,Jardim Paulista
Rua Quintino Bocaiúva,77543-230,Jardim Paulista
Rua Raimunda Alves Barros,77540-564,Lago Sul
Rua Raimunda Moreira de Sousa,77540-606,Lago Sul
Rua Raimundo dos Santos,77545-442,Marista
Rua Ramiro Barcelos,77543-288,Jardim Paulista
Rua Raquel de Queiroz,77543-174,Jardim Paulista
Rua Raquel Murça,77545-490,Marista
Rua Remo Ferreira Rios,77545-500,Marista
Rua Residencial 1,77546-002,Nova Fronteira
Rua Residencial 10,77546-024,Nova Fronteira
Rua Residencial 10A,77546-026,Nova Fronteira
Rua Residencial 11,77546-028,Nova Fronteira
Rua Residencial 11A,77546-030,Nova Fronteira
Rua Residencial 12,77546-032,Nova Fronteira
Rua Residencial 12A,77546-034,Nova Fronteira
Rua Residencial 13,77546-036,Nova Fronteira
Rua Residencial 14,77546-038,Nova Fronteira
Rua Residencial 14A,77546-040,Nova Fronteira
Rua Residencial 15,77546-042,Nova Fronteira
Rua Residencial 15A,77546-044,Nova Fronteira
Rua Residencial 16,77546-054,Nova Fronteira
Rua Residencial 17,77546-056,Nova Fronteira
Rua Residencial 18,77546-058,Nova Fronteira
Rua Residencial 19,77546-060,Nova Fronteira
Rua Residencial 2,77546-004,Nova Fronteira
Rua Residencial 20,77546-064,Nova Fronteira
Rua Residencial 21,77546-066,Nova Fronteira
Rua Residencial 22,77546-068,Nova Fronteira
Rua Residencial 3,77546-006,Nova Fronteira
Rua Residencial 5,77546-010,Nova Fronteira
Rua Residencial 6,77546-012,Nova Fronteira
Rua Residencial 7,77546-014,Nova Fronteira
Rua Residencial 8,77546-016,Nova Fronteira
Rua Residencial 8A,77546-018,Nova Fronteira
Rua Residencial 9,77546-020,Nova Fronteira
Rua Residencial 9A,77546-022,Nova Fronteira
Rua RF-1,77546-440,Residencial Flamboyant
Rua RF-2,77546-442,Residencial Flamboyant
Rua RF-3,77546-444,Residencial Flamboyant
Rua RF-4,77546-446,Residencial Flamboyant
Rua Rio Araguaia,77545-398,Bueno
Rua Rio Caiapó,77545-396,Bueno
Rua Rio Caiapó,77545-450,Marista
Rua Rio Lajeado,77545-392,Bueno
Rua Rio Lajeado,77545-454,Marista
Rua Rio Negro,77545-156,Oeste
Rua Rio Tocantins,77545-394,Bueno
Rua Rio Tocantins,77545-452,Marista
Rua Roberto Marinho,77543-328,Vale do Araguaia
Rua Romênia,77546-430,Vila Regina
Rua Roquiel Rodrigues do Nascimento,77545-426,Marista
Rua Rouxinol,77543-160,Jardim Paulista
Rua Rui Barbosa,77543-240,Jardim Paulista
Rua Ruy Barbosa,77545-146,Vila Popular
Rua Ruy Barbosa,77545-226,Oeste
Rua Sabiá,77543-158,Jardim Paulista
Rua Salgado Filho,77543-224,Jardim Paulista
Rua Salviana Barros,77546-180,Nova Esperança
Rua Samuel Miranda Acácio,77545-118,Bela Vista
Rua Samuel Riranda Acácio,77545-682,Jardim do Lago
Rua Santos Dumont,77543-206,Jardim Paulista
Rua Santos Dumont,77545-078,Centro
Rua Santos Dumont,77545-162,Oeste
Rua Sebastião Canuto de Oliveira,77545-470,Marista
Rua Siriema,77543-142,Jardim Paulista
Rua Sucupira,77540-314,Serra Verde
Rua Sucupira,77543-308,Terra Bela
Rua Suécia,77546-356,Jardins das Acácias
Rua Suécia,77546-426,Vila Regina
Rua Suíça,77546-404,Vila Regina
Rua Surubim,77545-462,Marista
Rua Tacredo Neves,77543-192,Jardim Paulista
Rua Tangará,77543-116,Jardim Paulista
Rua Tapajós,77545-082,Centro
Rua Tapajós,77545-168,Oeste
Rua Tapirapê,77543-260,Jardim Paulista
Rua Timbira,77545-188,Oeste
Rua Tiradentes,77540-064,Serrano
Rua Tiradentes,77543-210,Jardim Paulista
Rua Tobias Barreto,77540-056,Serrano
Rua Tocantínia,77540-132,Serrano
Rua Tocantins,77545-086,Centro
Rua Tocantins,77545-170,Oeste
Rua Tocantins,77545-244,Vila Oeste
Rua Tom Jobim,77543-322,Vale do Araguaia
Rua Tucunaré,77545-438,Marista
Rua Tupinambá,77543-270,Jardim Paulista
Rua Tupinambás,77545-046,Interlagos
Rua Tupinambás,77545-134,Vila Popular
Rua Tupinambás,77545-184,Oeste
Rua Uirapuru,77543-122,Jardim Paulista
Rua Ulisses Moreira Milhomem,77540-582,Lago Sul
Rua Valdeis Alves de Medeiros,77546-094,Parque Industrial Álvaro Moreira Milhomem
Rua Venezuela,77546-372,Vila Regina
Rua Villa Lobos,77543-178,Jardim Paulista
Rua Vinicius de Moraes,77543-212,Jardim Paulista
Rua Visconde de Mauá,77540-036,Parque dos Buritis
Rua Visconde de Mauá,77540-084,Serrano
Rua Visconde de Mauá,77543-218,Jardim Paulista
Rua Voluntários da Pátria,77545-034,Interlagos
Rua Voluntários da Pátria,77545-070,Centro
Rua Wadi Cecílio,77547-310,Neuton Moraes
Rua Zé Macio,77545-492,Marista
Rua Zeca Abreu,77547-328,Neuton Moraes
Rua 1,77540-000,Parque dos Buritis
Rua 1,77540-172,Jardim Limeira
Rua 1,77540-566,Lago Sul
Rua 1,77543-002,Milena I
Rua 1,77543-360,Novo Jardim Paulista
Rua 1,77545-196,Oeste
Rua 1,77545-262,Vila Oeste
Rua 1,77545-726,Residencial Carlos Magno
Rua 1,77546-112,Santa Clara
Rua 1,77546-200,Jardim America
Rua 1,77546-310,Paraíso dos Ipês
Rua 1,77546-532,Jardim Universitário
Rua 1,77547-554,Perque Agroindustrial
Rua 1,77547-570,Santana
Rua 1ª de janeiro,77546-164,Santa Clara
Rua 1A,77540-188,Jardim Limeira
Rua 10,77540-018,Parque dos Buritis
Rua 10,77540-612,Lago Sul
Rua 10,77543-020,Milena I
Rua 10,77543-376,Novo Jardim Paulista
Rua 10,77545-280,Vila Oeste
Rua 10,77545-368,Aeroporto
Rua 10,77545-412,Bueno
Rua 10,77546-130,Santa Clara
Rua 10,77546-228,Jardim America
Rua 10,77546-328,Paraíso dos Ipês
Rua 10,77546-550,Jardim Universitário
Rua 10,77547-580,Santana
Rua 11,77540-020,Parque dos Buritis
Rua 11,77540-596,Lago Sul
Rua 11,77543-024,Milena I
Rua 11,77543-378,Novo Jardim Paulista
Rua 11,77545-246,Vila Oeste
Rua 11,77545-370,Aeroporto
Rua 11,77546-132,Santa Clara
Rua 11,77546-230,Jardim America
Rua 11,77546-330,Paraíso dos Ipês
Rua 11,77546-552,Jardim Universitário
Rua 12,77540-022,Parque dos Buritis
Rua 12,77540-618,Lago Sul
Rua 12,77543-026,Milena I
Rua 12,77543-380,Novo Jardim Paulista
Rua 12,77545-256,Vila Oeste
Rua 12,77545-374,Aeroporto
Rua 12,77546-134,Santa Clara
Rua 12,77546-232,Jardim America
Rua 12,77546-332,Paraíso dos Ipês
Rua 12,77546-554,Jardim Universitário
Rua 13,77543-028,Milena I
Rua 13,77543-382,Novo Jardim Paulista
Rua 13,77545-254,Vila Oeste
Rua 13,77545-376,Aeroporto
Rua 13,77546-136,Santa Clara
Rua 13,77546-186,Nova Esperança
Rua 13,77546-234,Jardim America
Rua 13,77546-334,Paraíso dos Ipês
Rua 13,77546-556,Jardim Universitário
Rua 13 de maio,77545-088,Centro
Rua 13 de maio,77545-172,Oeste
Rua 13 de maio,77545-248,Vila Oeste
Rua 14,77540-598,Lago Sul
Rua 14,77543-030,Milena I
Rua 14,77543-384,Novo Jardim Paulista
Rua 14,77545-378,Aeroporto
Rua 14,77546-138,Santa Clara
Rua 14,77546-188,Nova Esperança
Rua 14,77546-236,Jardim America
Rua 14,77546-336,Paraíso dos Ipês
Rua 14,77546-558,Jardim Universitário
Rua 14 de fevereiro,77545-710,Jardim do Lago
Rua 15,77543-032,Milena I
Rua 15,77543-386,Novo Jardim Paulista
Rua 15,77545-182,Oeste
Rua 15,77545-258,Vila Oeste
Rua 15,77545-380,Aeroporto
Rua 15,77545-464,Marista
Rua 15,77546-140,Santa Clara
Rua 15,77546-190,Nova Esperança
Rua 15,77546-238,Jardim America
Rua 15,77546-338,Paraíso dos Ipês
Rua 15,77546-560,Jardim Universitário
Rua 15 de novembro,77545-074,Centro
Rua 15 de novembro,77545-154,Oeste
Rua 16,77543-034,Milena I
Rua 16,77543-388,Novo Jardim Paulista
Rua 16,77545-180,Oeste
Rua 16,77545-382,Aeroporto
Rua 16,77546-142,Santa Clara
Rua 16,77546-192,Nova Esperança
Rua 16,77546-240,Jardim America
Rua 16,77546-562,Jardim Universitário
Rua 17,77543-036,Milena I
Rua 17,77543-390,Novo Jardim Paulista
Rua 17,77546-144,Santa Clara
Rua 17,77546-194,Nova Esperança
Rua 17,77546-242,Jardim America
Rua 17,77546-340,Paraíso dos Ipês
Rua 17,77546-564,Jardim Universitário
Rua 18,77543-038,Milena I
Rua 18,77543-392,Novo Jardim Paulista
Rua 18,77546-146,Santa Clara
Rua 18,77546-196,Nova Esperança
Rua 18,77546-244,Jardim America
Rua 18,77546-566,Jardim Universitário
Rua 18A,77546-148,Santa Clara
Rua 19,77543-040,Milena I
Rua 19,77543-394,Novo Jardim Paulista
Rua 19,77546-150,Santa Clara
Rua 19,77546-198,Nova Esperança
Rua 19,77546-246,Jardim America
Rua 19,77546-342,Paraíso dos Ipês
Rua 19,77546-568,Jardim Universitário
Rua 2,77540-002,Parque dos Buritis
Rua 2,77540-174,Jardim Limeira
Rua 2,77540-568,Lago Sul
Rua 2,77543-004,Milena I
Rua 2,77543-362,Novo Jardim Paulista
Rua 2,77545-264,Vila Oeste
Rua 2,77545-728,Residencial Carlos Magno
Rua 2,77546-114,Santa Clara
Rua 2,77546-202,Jardim America
Rua 2,77546-312,Paraíso dos Ipês
Rua 2,77546-534,Jardim Universitário
Rua 2,77547-556,Perque Agroindustrial
Rua 2,77547-572,Santana
Rua 2A,77540-190,Jardim Limeira
Rua 20,77540-186,Jardim Limeira
Rua 20,77543-042,Milena I
Rua 20,77543-396,Novo Jardim Paulista
Rua 20,77546-152,Santa Clara
Rua 20,77546-570,Jardim Universitário
Rua 20A,77540-200,Jardim Limeira
Rua 21,77543-398,Novo Jardim Paulista
Rua 21,77546-344,Paraíso dos Ipês
Rua 21,77546-572,Jardim Universitário
Rua 21 de abril,77545-076,Centro
Rua 21 de abril,77545-158,Oeste
Rua 21 de abril,77545-708,Jardim do Lago
Rua 21A,77540-202,Jardim Limeira
Rua 22,77543-044,Milena I
Rua 22,77543-412,Novo Jardim Paulista
Rua 22,77546-574,Jardim Universitário
Rua 22A,77543-414,Novo Jardim Paulista
Rua 22A,77546-576,Jardim Universitário
Rua 23,77543-046,Milena I
Rua 23,77543-400,Novo Jardim Paulista
Rua 23,77546-346,Paraíso dos Ipês
Rua 23,77546-578,Jardim Universitário
Rua 23 de outubro,77546-226,Jardim America
Rua 23A,77543-402,Novo Jardim Paulista
Rua 23B,77540-204,Jardim Limeira
Rua 24,77543-048,Milena I
Rua 24,77543-416,Novo Jardim Paulista
Rua 24,77546-580,Jardim Universitário
Rua 24B,77540-206,Jardim Limeira
Rua 25,77543-404,Novo Jardim Paulista
Rua 25,77546-582,Jardim Universitário
Rua 25B,77540-210,Jardim Limeira
Rua 26,77543-050,Milena I
Rua 26,77543-418,Novo Jardim Paulista
Rua 26,77546-584,Jardim Universitário
Rua 26A,77543-420,Novo Jardim Paulista
Rua 26B,77540-212,Jardim Limeira
Rua 27,77543-052,Milena I
Rua 27,77543-406,Novo Jardim Paulista
Rua 27,77546-586,Jardim Universitário
Rua 27A,77543-408,Novo Jardim Paulista
Rua 27B,77540-214,Jardim Limeira
Rua 27B,77543-410,Novo Jardim Paulista
Rua 28,77543-054,Milena I
Rua 28,77543-424,Novo Jardim Paulista
Rua 28,77546-588,Jardim Universitário
Rua 28B,77540-218,Jardim Limeira
Rua 29,77543-056,Milena I
Rua 29,77543-434,Novo Jardim Paulista
Rua 29,77546-590,Jardim Universitário
Rua 29B,77540-220,Jardim Limeira
Rua 3,77540-004,Parque dos Buritis
Rua 3,77540-176,Jardim Limeira
Rua 3,77540-570,Lago Sul
Rua 3,77543-006,Milena I
Rua 3,77543-364,Novo Jardim Paulista
Rua 3,77545-266,Vila Oeste
Rua 3,77545-352,Aeroporto
Rua 3,77546-116,Santa Clara
Rua 3,77546-204,Jardim America
Rua 3,77546-314,Paraíso dos Ipês
Rua 3,77546-536,Jardim Universitário
Rua 3,77547-558,Perque Agroindustrial
Rua 3,77547-574,Santana
Rua 3A,77540-192,Jardim Limeira
Rua 30,77543-058,Milena I
Rua 30,77543-422,Novo Jardim Paulista
Rua 30,77546-592,Jardim Universitário
Rua 30B,77540-222,Jardim Limeira
Rua 31,77543-060,Milena I
Rua 31,77543-444,Novo Jardim Paulista
Rua 31,77546-594,Jardim Universitário
Rua 31B,77540-224,Jardim Limeira
Rua 32,77543-062,Milena I
Rua 32,77543-426,Novo Jardim Paulista
Rua 32,77546-596,Jardim Universitário
Rua 32A,77543-428,Novo Jardim Paulista
Rua 32B,77540-226,Jardim Limeira
Rua 33,77543-064,Milena I
Rua 33,77546-598,Jardim Universitário
Rua 33B,77540-228,Jardim Limeira
Rua 34,77543-066,Milena I
Rua 34,77543-430,Novo Jardim Paulista
Rua 34,77546-600,Jardim Universitário
Rua 35,77543-068,Milena I
Rua 35,77546-602,Jardim Universitário
Rua 35B,77540-230,Jardim Limeira
Rua 36,77543-070,Milena I
Rua 36,77543-432,Novo Jardim Paulista
Rua 36,77546-604,Jardim Universitário
Rua 37,77543-072,Milena I
Rua 37,77546-606,Jardim Universitário
Rua 38,77543-074,Milena I
Rua 38,77543-436,Novo Jardim Paulista
Rua 38,77546-608,Jardim Universitário
Rua 39,77543-076,Milena I
Rua 39,77546-610,Jardim Universitário
Rua 4,77540-006,Parque dos Buritis
Rua 4,77540-178,Jardim Limeira
Rua 4,77540-572,Lago Sul
Rua 4,77543-008,Milena I
Rua 4,77545-268,Vila Oeste
Rua 4,77545-354,Aeroporto
Rua 4,77545-732,Residencial Carlos Magno
Rua 4,77546-118,Santa Clara
Rua 4,77546-206,Jardim America
Rua 4,77546-316,Paraíso dos Ipês
Rua 4,77546-538,Jardim Universitário
Rua 4,77547-576,Santana
Rua 4A,77540-194,Jardim Limeira
Rua 40,77543-078,Milena I
Rua 40,77543-438,Novo Jardim Paulista
Rua 40,77546-612,Jardim Universitário
Rua 41,77543-080,Milena I
Rua 42,77543-440,Novo Jardim Paulista
Rua 44,77542-040,Milena 2
Rua 44,77543-442,Novo Jardim Paulista
Rua 45,77542-042,Milena 2
Rua 46,77542-044,Milena 2
Rua 46,77543-446,Novo Jardim Paulista
Rua 47,77542-010,Milena 2
Rua 48,77542-038,Milena 2
Rua 48,77543-448,Novo Jardim Paulista
Rua 49,77542-008,Milena 2
Rua 5,77540-008,Parque dos Buritis
Rua 5,77540-180,Jardim Limeira
Rua 5,77540-584,Lago Sul
Rua 5,77543-010,Milena I
Rua 5,77543-366,Novo Jardim Paulista
Rua 5,77545-270,Vila Oeste
Rua 5,77545-356,Aeroporto
Rua 5,77546-120,Santa Clara
Rua 5,77546-318,Paraíso dos Ipês
Rua 5,77546-540,Jardim Universitário
Rua 5,77547-578,Santana
Rua 5A,77540-196,Jardim Limeira
Rua 50,77542-006,Milena 2
Rua 50,77545-832,Pouso Alegre
Rua 51,77542-004,Milena 2
Rua 51,77545-830,Pouso Alegre
Rua 52,77542-002,Milena 2
Rua 52,77545-828,Pouso Alegre
Rua 53,77542-036,Milena 2
Rua 53,77545-742,Alto Paraíso
Rua 53,77545-826,Pouso Alegre
Rua 54,77542-034,Milena 2
Rua 54,77545-824,Pouso Alegre
Rua 54A,77542-014,Milena 2
Rua 55,77542-032,Milena 2
Rua 55,77545-744,Alto Paraíso
Rua 55,77545-822,Pouso Alegre
Rua 56,77542-028,Milena 2
Rua 56,77545-746,Alto Paraíso
Rua 56,77545-820,Pouso Alegre
Rua 56A,77542-016,Milena 2
Rua 56B,77542-018,Milena 2
Rua 57,77542-026,Milena 2
Rua 57,77545-818,Pouso Alegre
Rua 58,77542-024,Milena 2
Rua 58,77545-748,Alto Paraíso
Rua 58,77545-816,Pouso Alegre
Rua 59,77542-022,Milena 2
Rua 59,77545-814,Pouso Alegre
Rua 6,77540-010,Parque dos Buritis
Rua 6,77540-182,Jardim Limeira
Rua 6,77540-586,Lago Sul
Rua 6,77543-012,Milena I
Rua 6,77543-368,Novo Jardim Paulista
Rua 6,77545-272,Vila Oeste
Rua 6,77545-358,Aeroporto
Rua 6,77545-390,Bueno
Rua 6,77545-458,Marista
Rua 6,77546-122,Santa Clara
Rua 6,77546-208,Jardim America
Rua 6,77546-320,Paraíso dos Ipês
Rua 6,77546-542,Jardim Universitário
Rua 6A,77540-198,Jardim Limeira
Rua 60,77545-752,Alto Paraíso
Rua 60,77545-812,Pouso Alegre
Rua 61,77545-754,Alto Paraíso
Rua 61,77545-810,Pouso Alegre
Rua 62,77545-760,Alto Paraíso
Rua 62,77545-806,Pouso Alegre
Rua 63,77545-758,Alto Paraíso
Rua 63,77545-808,Pouso Alegre
Rua 64,77545-802,Pouso Alegre
Rua 7,77540-012,Parque dos Buritis
Rua 7,77540-588,Lago Sul
Rua 7,77543-014,Milena I
Rua 7,77543-370,Novo Jardim Paulista
Rua 7,77545-274,Vila Oeste
Rua 7,77545-360,Aeroporto
Rua 7,77546-124,Santa Clara
Rua 7,77546-210,Jardim America
Rua 7,77546-322,Paraíso dos Ipês
Rua 7,77546-544,Jardim Universitário
Rua 7 de setembro,77545-090,Centro
Rua 7 de setembro,77545-130,Vila Popular
Rua 7 de setembro,77545-176,Oeste
Rua 7 de setembro,77545-250,Vila Oeste
Rua 8,77540-014,Parque dos Buritis
Rua 8,77540-590,Lago Sul
Rua 8,77543-016,Milena I
Rua 8,77543-372,Novo Jardim Paulista
Rua 8,77545-276,Vila Oeste
Rua 8,77545-362,Aeroporto
Rua 8,77546-126,Santa Clara
Rua 8,77546-214,Jardim America
Rua 8,77546-324,Paraíso dos Ipês
Rua 8,77546-546,Jardim Universitário
Rua 9,77540-016,Parque dos Buritis
Rua 9,77540-614,Lago Sul
Rua 9,77543-018,Milena I
Rua 9,77543-374,Novo Jardim Paulista
Rua 9,77545-278,Vila Oeste
Rua 9,77545-364,Aeroporto
Rua 9,77546-128,Santa Clara
Rua 9,77546-222,Jardim America
Rua 9,77546-326,Paraíso dos Ipês
Rua 9,77546-548,Jardim Universitário